website,linkedin_name,specialties,linkedin_url
www.clarendonhousecapital.com,Clarendon House Capital,investment,www.linkedin.com/company/9325774
www.clausematch.com,ClauseMatch,data,www.linkedin.com/company/2958737
www.climatebonds.net,Climate Bonds Initiative,investment,www.linkedin.com/company/1032198
http://www.creative-itc.com,Creative ITC,data,www.linkedin.com/company/2456741
www.closebrothersam.com,Close Brothers Asset Management,investment,www.linkedin.com/company/151954
www.cloudsense.com,CloudSense,cloud,www.linkedin.com/company/883054
www.clxcommunications.com,CLX Communications AB,cloud software data,www.linkedin.com/company/634222
http://holbornlaw.sg/,CMS Holborn Asia,technology,www.linkedin.com/company/13215775
www.cmsdistribution.com,CMS Distribution,cloud software data,www.linkedin.com/company/2854593
http://www.cncautomation.com,CNC Automation,software,www.linkedin.com/company/1869144
www.codegen.co.uk,CodeGen International,data technology software,www.linkedin.com/company/136773
http://www.interstatehotels.com,Interstate Hotels & Resorts,investment,www.linkedin.com/company/10828
www.collercapital.com,Coller Capital,investment,www.linkedin.com/company/21304
http://www.colliers.com/en-gb/myanmar/,Colliers International Myanmar,investment,www.linkedin.com/company/7940266
www.commusoft.co.uk,Commusoft,software,www.linkedin.com/company/5308823
http://www.como.com,Como®,data,www.linkedin.com/company/3281559
www.phdmedia.com,PHD,data,www.linkedin.com/company/211857
www.companywatch.net,Company Watch,investment,www.linkedin.com/company/1702687
www.concentra.co.uk,Concentra Analytics,data software,www.linkedin.com/company/415574
www.conceptreg.com,"Concept Real Estate Group, LLC",investment,www.linkedin.com/company/2375717
http://www.connexity.eu,Connexity Europe GmbH,data technology,www.linkedin.com/company/1410306
http://www.constantinecannon.com/index.php,Constantine Cannon LLP,technology,www.linkedin.com/company/58321
http://www.conversionenergysystems.com/,Conversion Energy Systems,technology,www.linkedin.com/company/11304580
http://www.coppingjoyce.co.uk/,Copping Joyce Surveyors Limited,investment,www.linkedin.com/company/3244010
www.core-ed.org,CORE Education,technology,www.linkedin.com/company/136742
https://www.cornerstoneondemand.com,Cornerstone OnDemand,software,www.linkedin.com/company/19664
http://www.CoverGenius.biz,Cover Genius,technology,www.linkedin.com/company/10554060
www.cowenprimeservices.com,Cowen Prime Services LLC,investment,www.linkedin.com/company/720017
https://www.healthiq.com/careers,Health IQ,data,www.linkedin.com/company/68350
www.simag.com,Systematic Investment Management AG (SIMAG®),investment,www.linkedin.com/company/27139501
www.crescora.com,Cresco Research,investment,www.linkedin.com/company/9268347
www.crfhealth.com,CRF Health,data,www.linkedin.com/company/421424
www.actionprgroup.com,Action Global Communications,technology,www.linkedin.com/company/43640
www.ceyloncan.com,Ceylon Beverage Can (Pvt) Ltd,technology,www.linkedin.com/company/13238169
www.wineinvestment.com,Cult Wines Ltd,investment,www.linkedin.com/company/2177587
http://www.cumberlandplace.co.uk,Cumberland Place Financial Management,investment,www.linkedin.com/company/9821593
http://www.meetings-incentives.com,"Meetings & Incentives Worldwide, Inc.",technology,www.linkedin.com/company/145679
http://cynarplc.com/,Cynar Plc,technology,www.linkedin.com/company/3201044
http://www.dmginfo.com/,dmg :: information,technology,www.linkedin.com/company/114433
www.damcogroup.co.uk,Damco Solutions Limited,software,www.linkedin.com/company/244149
www.datacentredesign.ca,Data Centre Design Inc.,data,www.linkedin.com/company/1170506
https://www.datapipe.com/,Datapipe,cloud,www.linkedin.com/company/21475
www.datatonic.com,Datatonic,cloud data,www.linkedin.com/company/1120810
www.datrix.co.uk,Datrix,cloud,www.linkedin.com/company/135146
www.dbsystel.co.uk,DB SYSTEL UK Ltd,cloud data,www.linkedin.com/company/9129582
http://www.dbh.de/en/,dbh Logistics IT AG,cloud software,www.linkedin.com/company/1686269
www.dealcloud.com,DealCloud,investment software,www.linkedin.com/company/2036864
www.dealogic.com,Dealogic,technology software,www.linkedin.com/company/12752
www.demarq.uk,Demarq,data,www.linkedin.com/company/9233348
http://gov.uk/dit,Department for International Trade (DIT),investment,www.linkedin.com/company/10889820
http://clarityconsultants.com,Clarity Consultants,technology,www.linkedin.com/company/34216
http://digirobotics.com/,DigiRoboticsTechnologies,technology,www.linkedin.com/company/13644379
https://www.digital-mr.com,DigitalMR,data,www.linkedin.com/company/1056609
http://www.dimensiondata.com/Global,Dimension Data,cloud,www.linkedin.com/company/2632
https://global.rakuten.com/corp/about/,Rakuten,investment,www.linkedin.com/company/47584
disruptventure.co,DisruptVenture,investment,www.linkedin.com/company/9244580
https://www.dnvgl.com,DNV GL,technology software,www.linkedin.com/company/4411
http://intlsoftwaresystems.com/,International Software Systems,data software,www.linkedin.com/company/18196305
www.Doorda.com,Doorda,data,www.linkedin.com/company/3196241
